geometry,geo params,constraints,num_folds,score_mean,score_std,f1_mean,f1_std,smoothness_mean,smoothness_std,avg_freeze_mean,avg_freeze_std,iteration_mean,score_over_f1,score_f1_freeze,score_f1_freeze_smooth
fourier_basis,8.0,"('variance', 'A', 'alpha', 'phi', 'f')",1,0.1601384594941678,0.0,0.8095238095238095,0.0,0.9191214122292728,0.0,1.4292898273856192,0.0,1.0,0.1978180970222073,0.2827393937466223,0.25987183087324395
fourier_basis,8.0,"('variance', 'A')",1,0.1601384594941678,0.0,0.8095238095238095,0.0,0.9191214122292728,0.0,1.4292898273856192,0.0,1.0,0.1978180970222073,0.2827393937466223,0.25987183087324395
fourier_basis,8.0,"('variance',)",10,0.16889300946316782,0.029167301399326565,0.939790764790765,0.05233826358481004,0.9034344031663499,0.03554630876225724,1.8087872113136299,1.071198044673772,12.0,0.17971341684845155,0.3250633300969546,0.29367339561740835
fourier_basis,8.0,"('variance', 'A', 'alpha')",1,0.1601384594941678,0.0,0.8095238095238095,0.0,0.9191214122292728,0.0,1.4292898273856192,0.0,1.0,0.1978180970222073,0.2827393937466223,0.25987183087324395
fourier_basis,8.0,"('variance', 'A', 'f')",1,0.1601384594941678,0.0,0.8095238095238095,0.0,0.9191214122292728,0.0,1.4292898273856192,0.0,1.0,0.1978180970222073,0.2827393937466223,0.25987183087324395
fourier_basis,8.0,"('variance', 'A', 'phi')",1,0.1601384594941678,0.0,0.8095238095238095,0.0,0.9191214122292728,0.0,1.4292898273856192,0.0,1.0,0.1978180970222073,0.2827393937466223,0.25987183087324395
fourier_basis,8.0,"('variance', 'A', 'f', 'phi')",1,0.1601384594941678,0.0,0.8095238095238095,0.0,0.9191214122292728,0.0,1.4292898273856192,0.0,1.0,0.1978180970222073,0.2827393937466223,0.25987183087324395
fourier_basis,8.0,"('variance', 'A', 'alpha', 'phi')",1,0.1601384594941678,0.0,0.8095238095238095,0.0,0.9191214122292728,0.0,1.4292898273856192,0.0,1.0,0.1978180970222073,0.2827393937466223,0.25987183087324395
fourier_basis,8.0,"('variance', 'A', 'f', 'alpha')",1,0.1601384594941678,0.0,0.8095238095238095,0.0,0.9191214122292728,0.0,1.4292898273856192,0.0,1.0,0.1978180970222073,0.2827393937466223,0.25987183087324395
fourier_basis,9.0,"('variance', 'A', 'alpha', 'phi', 'f')",1,0.1677548876460441,0.0,0.9595959595959596,0.0,0.9365196317638492,0.0,1.229149809513812,0.0,11.0,0.17481825133640386,0.2148778203296785,0.20123729716936906
fourier_basis,9.0,"('variance', 'A')",1,0.1677548876460441,0.0,0.9595959595959596,0.0,0.9365196317638492,0.0,1.229149809513812,0.0,11.0,0.17481825133640386,0.2148778203296785,0.20123729716936906
fourier_basis,9.0,"('variance',)",9,0.1682428843629848,0.036778166804823154,0.9488721155387823,0.03983506814890128,0.9390286153065142,0.021421984775512604,1.8068728436403363,1.0533535722627676,7.666666666666667,0.177308281703962,0.32037351916341966,0.30083990208090094
fourier_basis,9.0,"('variance', 'A', 'alpha')",1,0.1677548876460441,0.0,0.9595959595959596,0.0,0.9365196317638492,0.0,1.229149809513812,0.0,11.0,0.17481825133640386,0.2148778203296785,0.20123729716936906
fourier_basis,9.0,"('variance', 'A', 'f')",1,0.1677548876460441,0.0,0.9595959595959596,0.0,0.9365196317638492,0.0,1.229149809513812,0.0,11.0,0.17481825133640386,0.2148778203296785,0.20123729716936906
fourier_basis,9.0,"('variance', 'A', 'phi')",1,0.1677548876460441,0.0,0.9595959595959596,0.0,0.9365196317638492,0.0,1.229149809513812,0.0,11.0,0.17481825133640386,0.2148778203296785,0.20123729716936906
fourier_basis,9.0,"('variance', 'A', 'f', 'phi')",1,0.1677548876460441,0.0,0.9595959595959596,0.0,0.9365196317638492,0.0,1.229149809513812,0.0,11.0,0.17481825133640386,0.2148778203296785,0.20123729716936906
fourier_basis,9.0,"('variance', 'A', 'alpha', 'phi')",1,0.1677548876460441,0.0,0.9595959595959596,0.0,0.9365196317638492,0.0,1.229149809513812,0.0,11.0,0.17481825133640386,0.2148778203296785,0.20123729716936906
fourier_basis,9.0,"('variance', 'A', 'f', 'alpha')",1,0.1677548876460441,0.0,0.9595959595959596,0.0,0.9365196317638492,0.0,1.229149809513812,0.0,11.0,0.17481825133640386,0.2148778203296785,0.20123729716936906
fourier_basis,10.0,"('variance', 'A', 'alpha', 'phi', 'f')",1,0.184284218603271,0.0,1.0,0.0,0.9144853168291222,0.0,2.007981796376171,0.0,11.0,0.184284218603271,0.370039356314775,0.3383955579987615
fourier_basis,10.0,"('variance', 'A')",1,0.184284218603271,0.0,1.0,0.0,0.9144853168291222,0.0,2.007981796376171,0.0,11.0,0.184284218603271,0.370039356314775,0.3383955579987615
fourier_basis,10.0,"('variance',)",10,0.16553261387810053,0.027523035934740345,0.9352453102453102,0.05541136109973683,0.9163795885016384,0.03892282138336745,1.4620760941665334,0.28242952516773184,14.0,0.176993791965321,0.2587783920483805,0.23713923641841056
fourier_basis,10.0,"('variance', 'A', 'alpha')",1,0.184284218603271,0.0,1.0,0.0,0.9144853168291222,0.0,2.007981796376171,0.0,11.0,0.184284218603271,0.370039356314775,0.3383955579987615
fourier_basis,10.0,"('variance', 'A', 'f')",1,0.184284218603271,0.0,1.0,0.0,0.9144853168291222,0.0,2.007981796376171,0.0,11.0,0.184284218603271,0.370039356314775,0.3383955579987615
fourier_basis,10.0,"('variance', 'A', 'phi')",1,0.184284218603271,0.0,1.0,0.0,0.9144853168291222,0.0,2.007981796376171,0.0,11.0,0.184284218603271,0.370039356314775,0.3383955579987615
fourier_basis,10.0,"('variance', 'A', 'f', 'phi')",1,0.184284218603271,0.0,1.0,0.0,0.9144853168291222,0.0,2.007981796376171,0.0,11.0,0.184284218603271,0.370039356314775,0.3383955579987615
fourier_basis,10.0,"('variance', 'A', 'alpha', 'phi')",1,0.184284218603271,0.0,1.0,0.0,0.9144853168291222,0.0,2.007981796376171,0.0,11.0,0.184284218603271,0.370039356314775,0.3383955579987615
fourier_basis,10.0,"('variance', 'A', 'f', 'alpha')",1,0.184284218603271,0.0,1.0,0.0,0.9144853168291222,0.0,2.007981796376171,0.0,11.0,0.184284218603271,0.370039356314775,0.3383955579987615
fourier_basis,11.0,"('variance', 'A', 'alpha', 'phi', 'f')",3,0.1695111388367639,0.025270692994396583,0.9444444444444446,0.03928371006591922,0.899705232248795,0.044832322952362405,1.2743025314605585,0.09098556512501789,7.666666666666667,0.17948238229775,0.22871485411459455,0.20577595093992054
fourier_basis,11.0,"('variance', 'A')",3,0.1695111388367639,0.025270692994396583,0.9444444444444446,0.03928371006591922,0.899705232248795,0.044832322952362405,1.2743025314605585,0.09098556512501789,7.666666666666667,0.17948238229775,0.22871485411459455,0.20577595093992054
fourier_basis,11.0,"('variance',)",10,0.1711160888522293,0.024966038817171257,0.9354978354978355,0.05229830217547299,0.9491072773993062,0.08143387736088997,1.3689247670184153,0.3107551941226475,17.0,0.18291446795402574,0.25039614542826205,0.23765280385869852
fourier_basis,11.0,"('variance', 'A', 'alpha')",3,0.1695111388367639,0.025270692994396583,0.9444444444444446,0.03928371006591922,0.899705232248795,0.044832322952362405,1.2743025314605585,0.09098556512501789,7.666666666666667,0.17948238229775,0.22871485411459455,0.20577595093992054
fourier_basis,11.0,"('variance', 'A', 'f')",3,0.1695111388367639,0.025270692994396583,0.9444444444444446,0.03928371006591922,0.899705232248795,0.044832322952362405,1.2743025314605585,0.09098556512501789,7.666666666666667,0.17948238229775,0.22871485411459455,0.20577595093992054
fourier_basis,11.0,"('variance', 'A', 'phi')",3,0.1695111388367639,0.025270692994396583,0.9444444444444446,0.03928371006591922,0.899705232248795,0.044832322952362405,1.2743025314605585,0.09098556512501789,7.666666666666667,0.17948238229775,0.22871485411459455,0.20577595093992054
fourier_basis,11.0,"('variance', 'A', 'f', 'phi')",3,0.1695111388367639,0.025270692994396583,0.9444444444444446,0.03928371006591922,0.899705232248795,0.044832322952362405,1.2743025314605585,0.09098556512501789,7.666666666666667,0.17948238229775,0.22871485411459455,0.20577595093992054
fourier_basis,11.0,"('variance', 'A', 'alpha', 'phi')",3,0.1695111388367639,0.025270692994396583,0.9444444444444446,0.03928371006591922,0.899705232248795,0.044832322952362405,1.2743025314605585,0.09098556512501789,7.666666666666667,0.17948238229775,0.22871485411459455,0.20577595093992054
fourier_basis,11.0,"('variance', 'A', 'f', 'alpha')",3,0.1695111388367639,0.025270692994396583,0.9444444444444446,0.03928371006591922,0.899705232248795,0.044832322952362405,1.2743025314605585,0.09098556512501789,7.666666666666667,0.17948238229775,0.22871485411459455,0.20577595093992054
